CouncilDistrictCode,Latitude,Longitude,NumberofBuildings,NumberofFloors,LargestPropertyUseTypeGFA,ENERGYSTARScore,BuildingAge,ParkingRatio,AreaPerFloor,LogPropertyGFATotal,HasMultipleUses,UseTypeCount,LargestUseProportion,HasElectricity,HasNaturalGas,HasSteam,EnergySourceCount,HasENERGYSTARScore,BuildingType_NonResidential,BuildingType_Nonresidential COS,BuildingType_Nonresidential WA,BuildingType_SPS-District K-12,NeighborhoodGrouped_CENTRAL,NeighborhoodGrouped_DELRIDGE,NeighborhoodGrouped_DOWNTOWN,NeighborhoodGrouped_EAST,NeighborhoodGrouped_GREATER DUWAMISH,NeighborhoodGrouped_LAKE UNION,NeighborhoodGrouped_MAGNOLIA / QUEEN ANNE,NeighborhoodGrouped_NORTH,NeighborhoodGrouped_NORTHEAST,NeighborhoodGrouped_NORTHWEST,NeighborhoodGrouped_Other,NeighborhoodGrouped_SOUTHEAST,NeighborhoodGrouped_SOUTHWEST,PrimaryPropertyTypeGrouped_Industrial,PrimaryPropertyTypeGrouped_Institutional,PrimaryPropertyTypeGrouped_Office,PrimaryPropertyTypeGrouped_Other,PrimaryPropertyTypeGrouped_Retail
7.0,47.6122,-122.33799,1.0,12.0,88434.0,60.0,89.0,0.0,7369.5,11.390023097868896,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.61317,-122.33393,1.0,11.0,83880.0,61.0,20.0,0.1454531409922175,8045.636363636364,11.547974025246631,1.0,3.0,0.8099183129598517,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.61393,-122.3381,1.0,41.0,756493.0,43.0,47.0,0.2057482925604794,18521.756097560978,13.770629294080043,0.0,1.0,0.791219629540534,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.61412,-122.33664,1.0,10.0,61320.0,56.0,90.0,0.0,6132.0,11.023877640745798,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.61375,-122.34047,1.0,18.0,123445.0,75.0,36.0,0.3531153889964688,6310.0,12.075855753873482,1.0,3.0,0.7030698257204693,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.61623,-122.33657,1.0,2.0,88830.0,,17.0,0.382349313378834,30045.0,11.48544120936798,0.0,1.0,0.9130622481703808,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.6139,-122.33283,1.0,11.0,81352.0,27.0,90.0,0.0,7546.181818181818,11.326704314635162,0.0,1.0,0.9800501156515036,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.61327,-122.33136,1.0,8.0,102761.0,,90.0,0.0,12845.125,11.540170913860424,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.60294,-122.33263,1.0,15.0,163984.0,43.0,112.0,0.0,10932.266666666666,12.007530239208668,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.60695,-122.33414,1.0,11.0,133884.0,30.0,47.0,0.1258724365545203,12171.272727272728,11.9392645217297,0.0,1.0,0.8741275634454797,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
